name,sgnum,numpeaks
1504588_0050,19,49
1504591_0050,2,62
1504594_0050,14,10
1504595_0050,14,6
1504599_0050,2,15
1504607_0050,61,13
1504611_0050,4,85
1504613_0050,4,26
1504617_0050,2,70
1504622_0050,2,12
1504627_0050,14,27
1504630_0050,2,55
1504632_0050,61,24
1504635_0050,19,54
1504638_0050,4,97
1504647_0050,2,53
1504651_0050,14,94
1504653_0050,14,36
1504656_0050,19,57
1504657_0050,19,50
1504658_0050,14,46
1504661_0050,14,47
1504672_0050,19,30
1504679_0050,14,46
1504685_0050,14,27
1504701_0050,14,62
1504703_0050,19,21
1504704_0050,14,33
1504710_0050,60,16
1504716_0050,2,21
1504724_0050,14,35
1504725_0050,14,53
1504729_0050,4,105
1504731_0050,4,55
1504732_0050,2,100
1504734_0050,2,32
1504735_0050,14,43
1504742_0050,18,18
1504750_0050,4,68
1504762_0050,14,28
1504763_0050,15,36
1504765_0050,2,55
1504775_0050,18,9
1504777_0050,2,35
1504778_0050,114,24
1504793_0050,4,37
1504794_0050,2,29
1504796_0050,4,31
1504799_0050,4,52
1504802_0050,36,5
1504805_0050,36,34
1504810_0050,2,39
1504815_0050,2,76
1504825_0050,14,26
1504830_0050,14,21
1504831_0050,14,37
1504834_0050,2,68
1504837_0050,2,78
1504840_0050,2,51
1504843_0050,2,37
1504845_0050,2,45
1504847_0050,19,49
1504849_0050,19,37
1504850_0050,4,53
1504853_0050,2,51
1504865_0050,14,24
1504866_0050,33,24
1504868_0050,33,23
1504871_0050,4,60
1504872_0050,4,17
1504875_0050,5,31
1504879_0050,2,91
1504880_0050,14,44
1504886_0050,2,40
1504891_0050,2,49
1504893_0050,4,43
1504899_0050,4,76
1504902_0050,19,40
1504903_0050,4,26
1504904_0050,1,36
1504910_0050,19,47
1504911_0050,19,36
1504912_0050,19,84
1504915_0050,2,45
1504922_0050,62,6
1504930_0050,19,56
1504931_0050,14,47
1504936_0050,19,28
1504938_0050,4,128
1504943_0050,19,27
1504957_0050,14,11
1504960_0050,61,19
1504961_0050,14,45
1504968_0050,14,25
1504974_0050,14,31
1504983_0050,4,72
1504984_0050,61,30
1504994_0050,4,26
1504995_0050,19,43
1505001_0050,19,45
1505002_0050,33,30
1505004_0050,14,17
1505006_0050,2,48
1505007_0050,14,46
1505012_0050,14,52
1505013_0050,14,23
1505017_0050,2,74
1505022_0050,2,122
1505031_0050,19,39
1505032_0050,1,19
1505033_0050,19,24
1505037_0050,14,16
1505040_0050,7,72
1505044_0050,14,115
1505067_0050,2,63
1505068_0050,2,71
1505073_0050,14,36
1505086_0050,14,48
1505101_0050,2,104
1505102_0050,14,36
1505103_0050,15,44
1505114_0050,2,21
1505118_0050,14,35
1505123_0050,14,22
1505124_0050,2,17
1505125_0050,14,18
1505126_0050,2,114
1505129_0050,2,21
1505134_0050,19,79
1505162_0050,2,17
1505164_0050,14,87
1505169_0050,2,11
1505174_0050,11,15
1505179_0050,14,10
1505181_0050,14,37
1505185_0050,14,40
1505187_0050,62,8
1505189_0050,14,23
1505191_0050,14,19
1505192_0050,14,18
1505195_0050,15,29
1505196_0050,2,21
1505201_0050,15,19
1505205_0050,14,25
1505207_0050,14,27
1505208_0050,14,34
1505210_0050,14,20
1505211_0050,2,20
1505213_0050,2,30
1505217_0050,15,22
1505225_0050,4,29
1505231_0050,19,38
1505234_0050,14,67
1505235_0050,14,37
1505246_0050,19,18
1505247_0050,19,32
1505251_0050,19,76
1505252_0050,14,52
1505253_0050,33,21
1505255_0050,2,48
1505257_0050,14,47
1505258_0050,19,33
1505264_0050,2,61
1505267_0050,19,55
1505274_0050,33,20
1505283_0050,5,49
1505286_0050,14,40
1505287_0050,2,42
1505292_0050,19,72
1505294_0050,4,41
1505296_0050,15,28
1505299_0050,15,19
1505303_0050,19,106
1505304_0050,96,62
1505306_0050,18,9
1505308_0050,19,23
1505310_0050,14,35
1505311_0050,4,38
1505312_0050,19,52
1505321_0050,4,39
1505322_0050,19,34
1505326_0050,5,34
1505336_0050,5,24
1505350_0050,2,23
1505354_0050,14,48
1505356_0050,19,92
1505357_0050,19,58
1505360_0050,14,46
1505370_0050,14,26
1505373_0050,4,31
1505376_0050,2,44
1505384_0050,2,57
1505399_0050,2,25
1505407_0050,4,110
1505408_0050,19,55
1505413_0050,4,35
1505417_0050,154,14
1505420_0050,19,20
1505421_0050,2,38
1505427_0050,2,85
1505428_0050,14,23
1505433_0050,19,36
1505435_0050,4,62
1505443_0050,2,34
1505449_0050,14,44
1505453_0050,14,23
1505454_0050,14,30
1505458_0050,2,27
1505461_0050,2,19
1505468_0050,18,5
1505470_0050,19,31
1505477_0050,14,36
1505482_0050,173,23
1505485_0050,14,15
1505492_0050,14,63
1505496_0050,2,49
1505508_0050,4,40
1505513_0050,2,8
1505531_0050,4,48
1505532_0050,14,31
1505543_0050,2,57
1505549_0050,4,48
1505554_0050,14,53
1505564_0050,2,105
1505566_0050,4,49
1505567_0050,14,32
1505568_0050,2,94
1505574_0050,14,39
1505577_0050,14,55
1505578_0050,19,44
1505579_0050,154,53
1505580_0050,5,34
1505581_0050,19,46
1505584_0050,19,50
1505588_0050,4,43
1505599_0050,61,8
1505607_0050,14,49
1505621_0050,5,20
1505622_0050,14,40
1505623_0050,19,26
1505625_0050,14,73
1505629_0050,2,36
